taxlevel	rankID	taxon	daughterlevels	total	Lakeview1	Lakeview2	Lakeview3	Lakeview4	Lakeview5	Lakeview6	Lakeview7	Lakeview8
6	0.2.2.2.1.1.1	Actinobacteria_unclassified	0	32	11	11	0	5	1	3	1	0
4	0.2.2.2.2	Bifidobacteriales	1	12	0	1	0	2	4	3	2	0
5	0.2.2.2.2.1	Bifidobacteriaceae	1	12	0	1	0	2	4	3	2	0
6	0.2.2.2.2.1.1	Bifidobacterium	0	12	0	1	0	2	4	3	2	0
4	0.2.2.2.3	Corynebacteriales	2	69	18	12	3	6	6	4	12	8
5	0.2.2.2.3.1	Mycobacteriaceae	1	67	18	12	3	6	6	4	10	8
6	0.2.2.2.3.1.1	Mycobacterium	0	67	18	12	3	6	6	4	10	8
5	0.2.2.2.3.2	Nocardiaceae	1	2	0	0	0	0	0	0	2	0
6	0.2.2.2.3.2.1	Rhodococcus	0	2	0	0	0	0	0	0	2	0
4	0.2.2.2.4	Frankiales	3	51188	5516	5619	5806	9735	7714	5505	5844	5449
5	0.2.2.2.4.1	Cryptosporangiaceae	1	1	1	0	0	0	0	0	0	0
6	0.2.2.2.4.1.1	Fodinicola	0	1	1	0	0	0	0	0	0	0
5	0.2.2.2.4.2	Frankiales_unclassified	1	2	0	0	0	2	0	0	0	0
6	0.2.2.2.4.2.1	Frankiales_unclassified	0	2	0	0	0	2	0	0	0	0
5	0.2.2.2.4.3	Sporichthyaceae	4	51185	5515	5619	5806	9733	7714	5505	5844	5449
6	0.2.2.2.4.3.1	Candidatus_Planktophila	0	1764	453	293	168	194	211	155	166	124
6	0.2.2.2.4.3.2	Sporichthyaceae_ge	0	11856	2129	1523	1348	1828	1646	1121	1189	1072
6	0.2.2.2.4.3.3	Sporichthyaceae_unclassified	0	4186	957	637	382	575	532	409	383	311
6	0.2.2.2.4.3.4	hgcI_clade	0	33379	1976	3166	3908	7136	5325	3820	4106	3942
4	0.2.2.2.5	Micrococcales	2	1264	643	315	57	66	56	38	52	37
5	0.2.2.2.5.1	Microbacteriaceae	8	1255	641	314	56	65	56	37	51	35
6	0.2.2.2.5.1.1	Aurantimicrobium	0	38	25	9	0	1	0	0	3	0
6	0.2.2.2.5.1.2	Candidatus_Aquiluna	0	542	162	108	49	62	53	27	48	33
6	0.2.2.2.5.1.3	Candidatus_Limnoluna	0	26	11	5	5	0	1	4	0	0
6	0.2.2.2.5.1.4	Candidatus_Planktoluna	0	127	78	46	0	0	1	2	0	0
6	0.2.2.2.5.1.5	Leucobacter	0	2	0	1	0	0	0	1	0	0
6	0.2.2.2.5.1.6	MWH-Ta3	0	6	5	1	0	0	0	0	0	0
6	0.2.2.2.5.1.7	Microbacteriaceae_unclassified	0	370	272	96	0	0	0	0	0	2
6	0.2.2.2.5.1.8	Rhodoluna	0	144	88	48	2	2	1	3	0	0
5	0.2.2.2.5.2	Micrococcaceae	3	9	2	1	1	1	0	1	1	2
6	0.2.2.2.5.2.1	Arthrobacter	0	3	0	1	1	0	0	0	0	1
6	0.2.2.2.5.2.2	Kocuria	0	2	1	0	0	0	0	0	1	0
6	0.2.2.2.5.2.3	Micrococcus	0	4	1	0	0	1	0	1	0	1
4	0.2.2.2.6	PeM15	1	214	39	36	32	13	42	25	21	6
5	0.2.2.2.6.1	PeM15_fa	1	214	39	36	32	13	42	25	21	6
6	0.2.2.2.6.1.1	PeM15_ge	0	214	39	36	32	13	42	25	21	6
4	0.2.2.2.7	Pseudonocardiales	1	1	0	0	1	0	0	0	0	0
5	0.2.2.2.7.1	Pseudonocardiaceae	1	1	0	0	1	0	0	0	0	0
6	0.2.2.2.7.1.1	Actinomycetospora	0	1	0	0	1	0	0	0	0	0
3	0.2.2.3	Actinobacteria_unclassified	1	368	6	33	70	58	72	38	47	44
4	0.2.2.3.1	Actinobacteria_unclassified	1	368	6	33	70	58	72	38	47	44
5	0.2.2.3.1.1	Actinobacteria_unclassified	1	368	6	33	70	58	72	38	47	44
6	0.2.2.3.1.1.1	Actinobacteria_unclassified	0	368	6	33	70	58	72	38	47	44
3	0.2.2.4	Coriobacteriia	2	14	4	2	0	2	1	2	3	0
4	0.2.2.4.1	Coriobacteriales	2	12	3	1	0	2	1	2	3	0
5	0.2.2.4.1.1	Coriobacteriales_unclassified	1	1	0	0	0	0	0	0	1	0
6	0.2.2.4.1.1.1	Coriobacteriales_unclassified	0	1	0	0	0	0	0	0	1	0
5	0.2.2.4.1.2	Eggerthellaceae	3	11	3	1	0	2	1	2	2	0
6	0.2.2.4.1.2.1	DNF00809	0	1	0	1	0	0	0	0	0	0
6	0.2.2.4.1.2.2	Eggerthellaceae_unclassified	0	6	2	0	0	2	0	1	1	0
6	0.2.2.4.1.2.3	Enterorhabdus	0	4	1	0	0	0	1	1	1	0
4	0.2.2.4.2	OPB41	1	2	1	1	0	0	0	0	0	0
5	0.2.2.4.2.1	OPB41_fa	1	2	1	1	0	0	0	0	0	0
6	0.2.2.4.2.1.1	OPB41_ge	0	2	1	1	0	0	0	0	0	0
3	0.2.2.5	MB-A2-108	1	1	1	0	0	0	0	0	0	0
4	0.2.2.5.1	MB-A2-108_or	1	1	1	0	0	0	0	0	0	0
5	0.2.2.5.1.1	MB-A2-108_fa	1	1	1	0	0	0	0	0	0	0
6	0.2.2.5.1.1.1	MB-A2-108_ge	0	1	1	0	0	0	0	0	0	0
3	0.2.2.6	Thermoleophilia	3	87	5	5	8	11	16	14	15	13
4	0.2.2.6.1	Gaiellales	2	31	1	2	4	2	7	4	6	5
5	0.2.2.6.1.1	Gaiellaceae	1	1	0	0	0	0	0	1	0	0
6	0.2.2.6.1.1.1	Gaiella	0	1	0	0	0	0	0	1	0	0
5	0.2.2.6.1.2	uncultured	1	30	1	2	4	2	7	3	6	5
6	0.2.2.6.1.2.1	uncultured_ge	0	30	1	2	4	2	7	3	6	5
4	0.2.2.6.2	Solirubrobacterales	2	55	4	3	4	9	9	10	8	8
5	0.2.2.6.2.1	67-14	1	30	2	2	2	6	7	4	3	4
6	0.2.2.6.2.1.1	67-14_ge	0	30	2	2	2	6	7	4	3	4
5	0.2.2.6.2.2	Solirubrobacteraceae	5	25	2	1	2	3	2	6	5	4
6	0.2.2.6.2.2.1	Conexibacter	0	21	2	1	2	2	1	4	5	4
6	0.2.2.6.2.2.2	Patulibacter	0	1	0	0	0	0	0	1	0	0
6	0.2.2.6.2.2.3	Solirubrobacter	0	1	0	0	0	0	0	1	0	0
6	0.2.2.6.2.2.4	Solirubrobacteraceae_unclassified	0	1	0	0	0	0	1	0	0	0
6	0.2.2.6.2.2.5	uncultured	0	1	0	0	0	1	0	0	0	0
4	0.2.2.6.3	Thermoleophilia_unclassified	1	1	0	0	0	0	0	0	1	0
5	0.2.2.6.3.1	Thermoleophilia_unclassified	1	1	0	0	0	0	0	0	1	0
6	0.2.2.6.3.1.1	Thermoleophilia_unclassified	0	1	0	0	0	0	0	0	1	0
2	0.2.3	Armatimonadetes	4	1244	482	159	102	135	93	80	91	102
3	0.2.3.1	Armatimonadetes_unclassified	1	2	2	0	0	0	0	0	0	0
4	0.2.3.1.1	Armatimonadetes_unclassified	1	2	2	0	0	0	0	0	0	0
5	0.2.3.1.1.1	Armatimonadetes_unclassified	1	2	2	0	0	0	0	0	0	0
6	0.2.3.1.1.1.1	Armatimonadetes_unclassified	0	2	2	0	0	0	0	0	0	0
3	0.2.3.2	Armatimonadia	1	917	463	116	45	85	43	54	50	61
4	0.2.3.2.1	Armatimonadales	1	917	463	116	45	85	43	54	50	61
5	0.2.3.2.1.1	Armatimonadaceae	1	917	463	116	45	85	43	54	50	61
6	0.2.3.2.1.1.1	Armatimonas	0	917	463	116	45	85	43	54	50	61
3	0.2.3.3	Fimbriimonadia	1	323	16	42	57	50	50	26	41	41
4	0.2.3.3.1	Fimbriimonadales	2	323	16	42	57	50	50	26	41	41
5	0.2.3.3.1.1	Fimbriimonadaceae	1	322	15	42	57	50	50	26	41	41
6	0.2.3.3.1.1.1	Fimbriimonadaceae_ge	0	322	15	42	57	50	50	26	41	41
5	0.2.3.3.1.2	Fimbriimonadales_unclassified	1	1	1	0	0	0	0	0	0	0
6	0.2.3.3.1.2.1	Fimbriimonadales_unclassified	0	1	1	0	0	0	0	0	0	0
3	0.2.3.4	uncultured	1	2	1	1	0	0	0	0	0	0
4	0.2.3.4.1	uncultured_or	1	2	1	1	0	0	0	0	0	0
5	0.2.3.4.1.1	uncultured_fa	1	2	1	1	0	0	0	0	0	0
6	0.2.3.4.1.1.1	uncultured_ge	0	2	1	1	0	0	0	0	0	0
2	0.2.4	BRC1	1	7	1	0	2	2	0	1	1	0
3	0.2.4.1	BRC1_cl	1	7	1	0	2	2	0	1	1	0
4	0.2.4.1.1	BRC1_or	1	7	1	0	2	2	0	1	1	0
5	0.2.4.1.1.1	BRC1_fa	1	7	1	0	2	2	0	1	1	0
6	0.2.4.1.1.1.1	BRC1_ge	0	7	1	0	2	2	0	1	1	0
2	0.2.5	Bacteria_unclassified	1	3610	174	232	471	683	518	530	502	500
3	0.2.5.1	Bacteria_unclassified	1	3610	174	232	471	683	518	530	502	500
4	0.2.5.1.1	Bacteria_unclassified	1	3610	174	232	471	683	518	530	502	500
5	0.2.5.1.1.1	Bacteria_unclassified	1	3610	174	232	471	683	518	530	502	500
6	0.2.5.1.1.1.1	Bacteria_unclassified	0	3610	174	232	471	683	518	530	502	500
2	0.2.6	Bacteroidetes	3	69631	12758	7611	7779	11827	7712	7332	7746	6866
3	0.2.6.1	Bacteroidia	7	56485	12099	6619	5825	9071	5817	5769	5943	5342
4	0.2.6.1.1	Bacteroidales	14	494	118	49	15	67	42	84	113	6
5	0.2.6.1.1.1	Bacteroidaceae	1	36	6	3	1	12	0	5	7	2
6	0.2.6.1.1.1.1	Bacteroides	0	36	6	3	1	12	0	5	7	2
5	0.2.6.1.1.2	Bacteroidales_unclassified	1	2	0	1	0	0	1	0	0	0
6	0.2.6.1.1.2.1	Bacteroidales_unclassified	0	2	0	1	0	0	1	0	0	0
5	0.2.6.1.1.3	Bacteroidetes_BD2-2	1	1	0	0	1	0	0	0	0	0
6	0.2.6.1.1.3.1	Bacteroidetes_BD2-2_ge	0	1	0	0	1	0	0	0	0	0
5	0.2.6.1.1.4	Bacteroidetes_vadinHA17	1	20	11	7	0	1	0	0	1	0
6	0.2.6.1.1.4.1	Bacteroidetes_vadinHA17_ge	0	20	11	7	0	1	0	0	1	0
5	0.2.6.1.1.5	Dysgonomonadaceae	1	1	0	0	0	0	1	0	0	0
6	0.2.6.1.1.5.1	Dysgonomonas	0	1	0	0	0	0	1	0	0	0
5	0.2.6.1.1.6	Muribaculaceae	2	355	75	28	7	44	37	65	97	2
6	0.2.6.1.1.6.1	Muribaculaceae_ge	0	354	75	27	7	44	37	65	97	2
6	0.2.6.1.1.6.2	Muribaculaceae_unclassified	0	1	0	1	0	0	0	0	0	0
5	0.2.6.1.1.7	Paludibacteraceae	1	2	2	0	0	0	0	0	0	0
6	0.2.6.1.1.7.1	Paludibacter	0	2	2	0	0	0	0	0	0	0
5	0.2.6.1.1.8	Porphyromonadaceae	1	1	0	0	0	0	0	0	1	0
6	0.2.6.1.1.8.1	Porphyromonas	0	1	0	0	0	0	0	0	1	0
5	0.2.6.1.1.9	Prevotellaceae	4	4	1	0	1	1	0	0	1	0
6	0.2.6.1.1.9.1	Prevotella_1	0	1	0	0	1	0	0	0	0	0
6	0.2.6.1.1.9.2	Prevotella_7	0	1	0	0	0	0	0	0	1	0
6	0.2.6.1.1.9.3	Prevotellaceae_UCG-004	0	1	0	0	0	1	0	0	0	0
6	0.2.6.1.1.9.4	Prevotellaceae_unclassified	0	1	1	0	0	0	0	0	0	0
5	0.2.6.1.1.10	Prolixibacteraceae	4	13	3	4	2	2	0	0	0	2
6	0.2.6.1.1.10.1	BSV13	0	2	0	2	0	0	0	0	0	0
6	0.2.6.1.1.10.2	Roseimarinus	0	1	1	0	0	0	0	0	0	0
6	0.2.6.1.1.10.3	WCHB1-32	0	1	1	0	0	0	0	0	0	0
6	0.2.6.1.1.10.4	uncultured	0	9	1	2	2	2	0	0	0	2
5	0.2.6.1.1.11	Rikenellaceae	2	55	19	6	3	7	1	13	6	0
6	0.2.6.1.1.11.1	Alistipes	0	54	19	6	2	7	1	13	6	0
6	0.2.6.1.1.11.2	dgA-11_gut_group	0	1	0	0	1	0	0	0	0	0
5	0.2.6.1.1.12	SB-5	1	2	1	0	0	0	0	1	0	0
6	0.2.6.1.1.12.1	SB-5_ge	0	2	1	0	0	0	0	1	0	0
5	0.2.6.1.1.13	p-2534-18B5_gut_group	1	1	0	0	0	0	1	0	0	0
6	0.2.6.1.1.13.1	p-2534-18B5_gut_group_ge	0	1	0	0	0	0	1	0	0	0
5	0.2.6.1.1.14	uncultured	1	1	0	0	0	0	1	0	0	0
6	0.2.6.1.1.14.1	uncultured_ge	0	1	0	0	0	0	1	0	0	0
4	0.2.6.1.2	Bacteroidetes_VC2.1_Bac22	1	98	0	3	13	34	8	14	13	13
5	0.2.6.1.2.1	Bacteroidetes_VC2.1_Bac22_fa	1	98	0	3	13	34	8	14	13	13
6	0.2.6.1.2.1.1	Bacteroidetes_VC2.1_Bac22_ge	0	98	0	3	13	34	8	14	13	13
4	0.2.6.1.3	Bacteroidia_unclassified	1	811	138	183	75	106	84	89	64	72
5	0.2.6.1.3.1	Bacteroidia_unclassified	1	811	138	183	75	106	84	89	64	72
6	0.2.6.1.3.1.1	Bacteroidia_unclassified	0	811	138	183	75	106	84	89	64	72
4	0.2.6.1.4	Chitinophagales	5	21134	3633	2164	2251	3843	2428	2306	2364	2145
5	0.2.6.1.4.1	37-13	1	208	58	32	13	20	20	21	22	22
6	0.2.6.1.4.1.1	37-13_ge	0	208	58	32	13	20	20	21	22	22
5	0.2.6.1.4.2	Chitinophagaceae	9	17329	3141	1805	1777	3122	1954	1883	1934	1713
6	0.2.6.1.4.2.1	Chitinophagaceae_unclassified	0	181	38	19	16	40	15	22	14	17
6	0.2.6.1.4.2.2	Dinghuibacter	0	1333	765	342	45	44	54	32	37	14
6	0.2.6.1.4.2.3	Ferruginibacter	0	703	14	32	82	126	112	126	110	101
6	0.2.6.1.4.2.4	Lacibacter	0	26	7	10	2	3	1	2	0	1
6	0.2.6.1.4.2.5	Parasediminibacterium	0	3	2	0	1	0	0	0	0	0
6	0.2.6.1.4.2.6	Sediminibacterium	0	5589	1854	954	451	605	434	418	461	412
6	0.2.6.1.4.2.7	Taibaiella	0	10	1	2	1	0	1	2	2	1
6	0.2.6.1.4.2.8	Terrimonas	0	8884	185	363	1132	2241	1298	1247	1275	1143
6	0.2.6.1.4.2.9	uncultured	0	600	275	83	47	63	39	34	35	24
5	0.2.6.1.4.3	Chitinophagales_unclassified	1	276	2	7	47	55	57	29	33	46
6	0.2.6.1.4.3.1	Chitinophagales_unclassified	0	276	2	7	47	55	57	29	33	46
5	0.2.6.1.4.4	Saprospiraceae	6	3222	391	301	407	641	389	365	365	363
6	0.2.6.1.4.4.1	Candidatus_Aquirestis	0	1756	331	180	221	308	201	183	159	173
